NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"29bp 13",34.46,21.21,33.73,32.12,12.47
"29bp 13",33.98,22.17,31.66,31.47,12.82
"29bp 13",48.44,29.49,37.58,42.16,23.84
"29bp 13",47.35,27.91,33.26,41.84,22.17
"29bp 13",47.58,25.84,37.3,42.82,20.74
"29bp 13",49.69,26.57,40.33,44.44,22.23
"29bp 13",53.06,26.67,38.75,47.41,23.82
"29bp 13",49.15,34.9,44.36,40.31,28.12
"29bp 13",54.18,36.83,45.53,43.37,32.48
"29bp 13",49.12,34.63,45.81,40.42,27.92
"29bp 14",50.64,36.28,42.98,40.82,29.97
"29bp 14",48.45,35.87,43.37,39.26,28.39
"29bp 14",46.41,26.25,38.86,41.63,20.53
"29bp 14",46.8,34.45,42.81,38.6,26.47
"29bp 14",49.83,35.58,42.25,40.53,28.99
"29bp 14",47.98,46.06,48.33,33.29,34.55
"29bp 14",40.62,18.68,33.01,38.48,13.01
"29bp 14",45.61,21.34,34.02,42.49,16.6
"29bp 14",48.15,24.1,34.09,43.95,19.66
"29bp 14",47.28,31.01,39.1,40.52,24.36
"29bp 14",50.59,28.22,37.35,44.57,23.92
"29bp 14",47.4,27.57,36.81,42.02,21.94
"29bp 14",52.66,28.48,35.97,46.29,25.11
"29bp 14",50.81,27.14,33.93,45.22,23.18
"29bp 14",54.51,32.27,36.88,46.09,29.1
"29bp 14",47.13,28.44,36.1,41.44,22.44
"29bp 14",43.15,28.67,36.9,37.86,20.7
"29bp 14",41.72,25.37,33.22,37.7,17.88
"29bp 14",37.91,33.28,37.97,31.69,20.8
"29bp 14",39.54,29.73,38.26,34.34,19.61
"29bp 14",38.9,34.16,37.46,32.19,21.84
"29bp 14",46.83,31.77,39.65,39.81,24.66
"29bp 14",42.7,31.55,38.95,36.39,22.34
"29bp 14",43.27,34.18,37.64,35.79,24.31
"29bp 14",52.47,29.93,35.26,45.47,26.18
"29bp 14",44.49,27.28,32.63,39.54,20.39
"29bp 14",48.02,27.95,35.52,42.41,22.51
"29bp 14",46.97,26.31,30.85,42.1,20.82
"29bp 14",42.29,24.01,34.19,38.63,17.21
"29bp 14",45.63,27.68,31.83,40.41,21.2
"29bp 14",44.38,26.27,34.01,39.8,19.64
"29bp 14",43.15,28.27,27.32,38.01,20.44
"29bp 14",45.31,26.34,34.69,40.61,20.1
"29bp 14",47.99,26.32,34.41,43.01,21.27
"29bp 14",45.15,29.32,30.75,39.36,22.11
"29bp 14",39.61,25.25,28.09,35.83,16.9
"29bp 14",45.74,26.58,36.53,40.91,20.47
"29bp 14",48.68,29.58,38.29,42.34,24.03
"29bp 14",44.87,27.43,33.93,39.82,20.67
"29bp 14",44.58,25.35,29.68,40.29,19.09
"29bp 14",43.95,24.66,35.63,39.94,18.34
"29bp 14",43.1,31.55,38.79,36.73,22.55
"29bp 14",36,24.08,33.28,32.87,14.69
"29bp 14",32.95,20.73,34.57,30.82,11.67
"29bp 14",41.48,28.31,36.77,36.52,19.67
"29bp 14",32.25,23.25,34.33,29.63,12.73
"29bp 14",34.06,24.2,33.83,31.07,13.96
"29bp 14",31.57,25.42,32.23,28.51,13.55
"29bp 14",37.48,30.18,36.8,32.4,18.84
"29bp 14",33.6,22.04,33.55,31.14,12.61
"29bp 14",41.62,25.62,34.89,37.52,17.99
"29bp 14",49.69,28.81,40.35,43.54,23.95
"29bp 14",51.41,28.95,39.22,44.98,24.88
"29bp 14",49.32,28.87,37.83,43.19,23.81
"29bp 14",47.32,37.63,45.69,37.48,28.9
"29bp 14",48.64,34.63,44.15,40.02,27.64
"29bp 14",52.3,36.89,46.03,41.83,31.39
"29bp 14",43.15,25.64,33.79,38.9,18.67
"29bp 14",46.1,26.79,35.46,41.16,20.78
"29bp 15",44.33,32.85,38.63,37.24,24.04
"29bp 15",44.87,28.11,35.3,39.57,21.14
"29bp 15",47.84,30.39,39.31,41.27,24.2
"29bp 15",43.72,28.94,37.23,38.26,21.16
"29bp 15",43.08,29.27,35.36,37.58,21.06
"29bp 15",48.22,29.97,38.64,41.78,24.09
"29bp 15",48.39,29.3,36.42,42.2,23.68
"29bp 15",53.81,36.18,41.86,43.43,31.77
"29bp 15",49.22,29.54,36.17,42.82,24.27
"29bp 15",50.15,28.25,37.48,44.17,23.73
"29bp 15",43.31,25.43,34.65,39.11,18.59
"29bp 15",44.9,26.61,30.23,40.14,20.11
"29bp 15",42.92,31.03,36.04,36.78,22.12
"29bp 15",49.79,28.22,35.79,43.87,23.54
"29bp 15",50.96,33.07,39.01,42.7,27.81
"29bp 15",45.96,26.6,34.79,41.1,20.58
"29bp 15",49.07,32.08,40.14,41.58,26.06
"29bp 15",49.2,32.32,39.19,41.57,26.31
"29bp 15",49.94,33.36,41.01,41.71,27.46
"29bp 15",42.55,26.67,36.34,38.02,19.1
"29bp 16",48.03,32.35,41.8,40.58,25.71
"29bp 16",45.58,35.9,39,36.92,26.73
"29bp 16",43.86,37.7,42.88,34.7,26.82
"29bp 16",41.9,29.07,36.91,36.63,20.36
"29bp 16",42.94,29.24,39.68,37.47,20.97
"29bp 16",38.81,37.3,36.16,30.87,23.52
"29bp 16",46.2,33.35,42.68,38.6,25.4
"29bp 16",38.76,23.37,35.24,35.58,15.37
"29bp 16",39.34,28.23,38.74,34.66,18.61
"29bp 16",36.61,24.65,31.9,33.27,15.27
"29bp 16",52.1,31.6,35.46,44.37,27.3
"29bp 16",45.99,26.26,35,41.25,20.35
"29bp 16",40.29,28.53,28.44,35.4,19.24
"29bp 16",48.09,30.94,38.9,41.25,24.73
"29bp 16",42.52,23.07,34.36,39.12,16.66
"29bp 16",42.9,23.75,34.56,39.27,17.28
"29bp 16",31.26,41.49,40.28,23.41,20.71
"29bp 16",32.62,36.1,39.01,26.36,19.22
"29bp 16",39.83,27.2,38.09,35.43,18.21
"29bp 16",40.38,26.38,34.94,36.18,17.94
"29bp 16",32.77,34.27,38.33,27.08,18.45
"29bp 16",31.8,31.71,34.55,27.06,16.72
"29bp 16",45.73,31.57,39.44,38.96,23.94
"29bp 16",41.85,26.08,35.75,37.59,18.4
"29bp 16",26.96,24.32,33.94,24.56,11.1
"29bp 16",33.54,23.98,34.83,30.64,13.63
"29bp 16",31.98,23.61,34.7,29.31,12.81
"29bp 16",39.15,27.29,36.98,34.79,17.95
"29bp 16",36.51,26.06,36.69,32.8,16.04
"29bp 16",34.58,22.65,34.9,31.92,13.32
"29bp 16",41.48,22.98,35.82,38.19,16.2
"29bp 16",47.95,26.39,36.09,42.95,21.32
"29bp 16",52.92,29.07,39.47,46.26,25.71
"29bp 16",48.05,25.87,36.99,43.23,20.96
"29bp 16",42.54,32.45,40.46,35.9,22.82
"29bp 16",44.67,24.25,35.84,40.73,18.34
"29bp 16",36.58,29.31,34.96,31.9,17.91
"29bp 16",33.07,29.78,33.25,28.71,16.43
"29bp 16",43.23,26.01,36.25,38.85,18.96
"29bp 16",43.31,24.64,37.11,39.36,18.05
"29bp 16",33.88,35.35,37.97,27.63,19.6
"29bp 16",31.35,25.07,32.02,28.39,13.28
"29bp 16",38.34,26.1,33.48,34.43,16.87
"29bp 18",39.89,27.26,36.61,35.46,18.27
"29bp 18",28.45,41.54,37.36,21.3,18.87
"29bp 18",35.46,53.07,40.49,21.31,28.35
"29bp 18",52.73,35.36,42.78,43,30.52
"29bp 18",42,24.38,35.27,38.25,17.34
"29bp 18",46.59,27.24,36.55,41.42,21.32
"29bp 18",47.57,27.2,38.03,42.31,21.75
"29bp 18",48.78,28.17,38.45,43,23.03
"29bp 18",57,37.35,44.1,45.31,34.58
"29bp 18",47.92,31.74,40.57,40.75,25.21
"29bp 18",44.95,27.85,37.43,39.75,21
"29bp 18",41.43,25.69,36.57,37.34,17.96
"29bp 18",36.41,22.65,33.32,33.6,14.02
"29bp 18",40.1,22.69,32.89,37,15.47
"29bp 18",38.53,23.19,32.78,35.42,15.17
"29bp 18",38.38,26.15,33.49,34.45,16.91
"29bp 18",46.07,27,36.93,41.05,20.91
"29bp 18",42.57,24.2,35.57,38.83,17.45
"29bp 18",39.95,26.91,37.01,35.62,18.08
"29bp 18",41.88,25.18,37.37,37.9,17.82
"29bp 18",49.33,31.68,43.24,41.98,25.91
"29bp 18",49.33,29.58,40.59,42.9,24.35
